player_key,player_id,gamertag,first_name,last_name,country,game_title,role,org_name,region,date_of_birth,joined_date,annual_salary_usd,status
195,PLY0195,BattlePeak83,Yuki,Harris,Brazil,Valorant,Sentinel,Blaze Syndicate,ME,1999-11-30,2023-11-18,344790,Inactive
196,PLY0196,QuantumQ14,Riley,Lewis,Sweden,League of Legends,Jungle,StormClaw,EU,1998-03-19,2022-12-12,179465,Inactive
197,PLY0197,CyberFox74,Ivan,Tanaka,Turkey,Overwatch 2,Support,Iron Wolf,ME,2006-02-27,2018-09-13,385029,Active
198,PLY0198,DarkFlame77,Reese,Torres,Australia,Fortnite,Solo,RedLine FC,APAC,2003-02-26,2023-12-24,194477,Retired
199,PLY0199,ZeroHour88,Luca,Robinson,UK,Dota 2,Midlaner,Neon Rush,APAC,2001-02-16,2021-05-07,132895,Retired
200,PLY0200,DarkFlame50,Casey,Thompson,UK,Fortnite,Squad,Phantom eSports,ME,2006-12-02,2021-01-25,165884,Retired
201,PLY0201,StormBreak54,Reese,Kim,Turkey,CS2,Support,Phantom eSports,APAC,1998-06-22,2021-03-24,389415,Inactive
202,PLY0202,DarkFlame37,Marcus,Diaz,Brazil,Rocket League,Midfielder,Phantom eSports,ME,2005-10-22,2021-01-17,86970,Retired
203,PLY0203,QuantumQ16,Peyton,Petrov,Norway,Dota 2,Midlaner,Eclipse Gaming,LATAM,1998-08-04,2019-02-15,231688,Active
204,PLY0204,BlitzMax10,Leon,Harris,Japan,CS2,IGL,Arctic Fox,EU,2005-04-28,2023-05-03,265320,Inactive
205,PLY0205,ProSnipr21,Chris,Walker,Norway,Dota 2,Hard Support,Echo Strike,EU,2006-04-14,2018-06-02,493795,Inactive
206,PLY0206,AceStrike14,Omar,Lewis,Egypt,Apex Legends,Support,Team Nova,NA,2000-02-03,2021-03-31,474665,Inactive
207,PLY0207,NightHawk52,Peyton,Lee,France,Overwatch 2,Support,Echo Strike,EU,2004-02-04,2023-11-18,273952,Retired
208,PLY0208,SilentBlade24,Parker,Diaz,Canada,CS2,IGL,Iron Wolf,NA,2005-04-09,2020-11-19,391752,Retired
209,PLY0209,ChaosRift82,Chris,Clark,Norway,Dota 2,Midlaner,StormClaw,ME,2004-11-07,2022-07-19,448580,Inactive
210,PLY0210,NightHawk33,Kai,Kim,South Korea,Overwatch 2,Damage,StormClaw,EU,2000-10-13,2018-01-28,151726,Inactive
211,PLY0211,IronSight48,Luca,Diaz,Sweden,Valorant,Controller,Sky Breakers,NA,2005-05-01,2022-01-12,378210,Retired
212,PLY0212,ChaosRift30,Sam,Smith,Australia,Rocket League,Midfielder,Shadow Protocol,EU,1999-04-26,2021-04-23,207698,Active
213,PLY0213,BlitzMax68,Riley,Johnson,Denmark,Fortnite,Duo,RedLine FC,EU,2005-11-15,2023-04-13,412069,Active
214,PLY0214,SkySlash20,Leon,Harris,Japan,Overwatch 2,Support,Echo Strike,ME,2005-11-22,2022-01-21,55948,Active
215,PLY0215,SwiftArrow74,Jordan,Lewis,Brazil,CS2,AWPer,Phantom eSports,EU,2001-09-05,2023-11-02,246651,Retired
216,PLY0216,VoidKing75,Peyton,Johnson,UK,Valorant,Sentinel,Vortex Union,ME,1999-06-25,2023-10-04,232802,Active
217,PLY0217,ChaosRift12,Reese,Smith,Australia,Rocket League,Striker,Phantom eSports,NA,2006-05-13,2020-06-11,318201,Inactive
218,PLY0218,VoidKing79,Jamie,Thompson,USA,League of Legends,Bot,Iron Wolf,EU,1998-05-10,2021-03-21,229364,Retired
219,PLY0219,CyberFox57,Dmitri,Anderson,Nigeria,Apex Legends,Support,Arctic Fox,ME,2002-03-27,2022-03-19,57074,Active
220,PLY0220,NeonWolf25,Marcus,Robinson,South Korea,Apex Legends,IGL,Team Nova,NA,1999-06-06,2020-07-01,452686,Inactive
